Seq,ra,dec,z,gmag,rmag,FUVmag,NUVmag,Morph,Dist,g-r,BMag,logM*,M1:M2,SFR,logMHI,Sat,Ngh,DR12,Sloan,SimbadName,NED
151,241.4178,50.7544,0.0128,15.66,15.51,16.97,16.49,I,54.58,0.15,-17.76,9.0,,-0.54,9.26,0,2,DR12,Sloan,SDSS J160540.28+504515.8,NED
152,241.4459,41.3182,0.0066,13.14,12.94,14.6,14.29,I,28.01,0.2,-18.81,9.5,3,-0.17,9.69,0,5,DR12,Sloan,UGC 10200,NED
153,241.6708,6.5808,0.0058,14.69,14.33,16.1,15.57,Sh,20.4,0.36,-16.52,8.84,,-1.05,9.16,0,0,DR12,Sloan,LEDA   57169,NED
154,245.3675,28.6399,0.0029,14.4,14.05,16.01,16.31,Sh,12.27,0.35,-15.7,8.5,,-1.45,,0,6,DR12,Sloan,UGC 10351,NED
155,246.9728,48.4248,0.0134,16.47,16.19,17.95,17.29,Sh,57.17,0.28,-17.01,8.91,24,-0.89,9.46,0,4,DR12,Sloan,2MASX J16275342+4825302,NED
156,247.9531,20.4107,0.0171,14.54,14.36,15.97,15.44,Sh,73.15,0.18,-19.5,9.74,,0.11,9.2,0,0,DR12,Sloan,Mrk  884,NED
157,249.5121,26.4527,0.0144,15.41,15.36,16.44,16.07,E,61.48,0.05,-18.29,9.05,,-0.22,9.15,0,1,DR12,Sloan,2MASX J16380292+2627097,NED
158,251.7956,21.0952,0.009,15.42,15.35,,,IM,38.27,0.07,-17.24,8.66,,,8.7,0,2,DR12,Sloan,SDSSCGB 607.2,NED
159,258.2862,59.3277,0.0036,13.98,13.76,15.0,14.72,IM,15.24,0.22,-16.64,8.67,,-0.86,9.33,0,2,DR12,Sloan,UGC 10770,NED
160,319.9287,-7.5523,0.009,14.11,13.86,15.87,15.59,I,38.27,0.25,-18.49,9.46,,-0.41,8.43,0,1,DR12,Sloan,LEDA   66559,NED
161,325.6345,15.3,0.0122,15.38,15.15,15.85,16.28,T,52.0,0.23,-17.9,9.19,7,-0.13,8.93,0,3,DR12,Sloan,AGC 748645,NED
162,330.6332,19.7501,0.0054,13.54,13.21,15.28,14.81,IM,21.1,0.33,-17.75,9.29,47,-0.69,9.58,0,9,DR12,Sloan,IC 1420,NED
163,332.0383,4.69,0.0135,14.18,13.98,15.94,15.26,I,57.6,0.2,-19.33,9.71,,-0.08,,0,4,DR12,Sloan,LEDA   68112,NED
164,334.032,22.9333,0.0128,14.76,14.46,15.79,16.32,Sh,54.58,0.3,-18.61,9.58,,-0.07,,0,3,DR12,Sloan,KUG 2213+226,NED
165,336.861,12.0944,0.0118,15.98,15.65,17.3,17.65,Sh,50.28,0.33,-17.2,9.07,,-0.74,9.72,1,5,DR12,Sloan,LEDA 1403688,NED
166,339.8411,13.8822,0.0173,15.08,14.81,16.77,16.22,Sh,74.02,0.27,-18.96,9.67,,-0.2,9.5,0,4,DR12,Sloan,2MASX J22392191+1352557,NED
167,345.7469,16.6052,0.0069,13.47,13.18,,,T,28.9,0.29,-18.52,9.53,,,9.51,0,4,DR12,Sloan,NGC  7468,NED
168,349.9917,-0.9855,0.0121,16.12,15.81,18.01,17.91,TS,51.57,0.31,-17.12,9.0,,-1.01,9.83,0,3,DR12,Sloan,2MASX J23195800-0059077,NED
169,350.1466,-0.8809,0.0145,16.41,16.2,,,I,61.91,0.21,-17.26,8.9,,,9.26,1,7,DR12,Sloan,UM 158,NED
170,351.099,-0.1075,0.009,14.22,14.05,15.49,15.3,I,22.0,0.17,-17.21,8.81,,-0.74,9.45,1,20,DR12,Sloan,UGC 12578,NED
171,351.6245,1.9602,0.0172,15.37,15.08,16.58,17.27,Sh,73.59,0.29,-18.64,9.58,,-0.12,9.63,0,2,DR12,Sloan,Z 380-56,NED
172,351.6595,11.7423,0.0125,14.76,14.45,,,IM,53.29,0.31,-18.55,9.57,,,8.81,0,3,DR12,Sloan,KUG 2324+114,NED
173,352.5412,25.5327,0.0191,14.54,14.27,,15.38,IM,81.83,0.27,-19.71,9.97,,,,0,3,DR12,Sloan,ZW  III 107,NED
174,352.9928,28.9472,0.0182,14.74,14.77,15.79,15.33,IM,77.93,-0.03,-19.5,9.41,,0.24,10.1,0,4,DR12,Sloan,Mrk  930,NED
175,354.3894,17.9962,0.0084,13.79,13.43,,,IM,34.2,0.36,-18.54,9.65,,,9.4,0,3,DR12,Sloan,UGC 12710,NED
176,355.1846,-0.8874,0.0191,17.41,17.17,18.06,17.19,IM,81.83,0.24,-16.85,8.78,,-0.62,,0,3,DR12,Sloan,SDSS J234044.31-005314.8,NED
177,359.9042,14.8078,0.0058,13.21,12.82,14.53,14.05,Sh,22.7,0.39,-18.21,9.57,,-0.33,,0,1,DR12,Sloan,NGC  7800,NED
