object_id,ra,dec,phot_z,stellar_mass,P_merge,vis_class,tidal_feature_vis,shell,stream,tail,plume,double_nucleus,vis_class_flag
42688135221499555,351.0092860698178,0.32977571944005024,0.17445431649684906,51827998720.0,0.915825366973877,1,0,0,0,0,0,0,0
41619680502253930,350.50916454068823,-1.2106944780134536,0.2626299262046814,75985002496.0,0.8300801515579224,1,0,0,0,0,0,0,0
74701537250675161,243.6328752563042,53.44217398574274,0.29765546321868896,24497999872.0,0.35011154413223267,1,1,0,0,1,0,0,0
38558511281494555,36.85732082632745,-3.8967699761910506,0.18328149616718292,94937997312.0,0.9006545543670654,1,0,0,0,0,0,0,0
42692400124029995,352.6188761556132,0.5040157980015515,0.2102021723985672,38124998656.0,0.9932334423065186,1,0,0,0,0,0,0,0
42692808145927447,352.02124520737146,0.33560637057849524,0.13639840483665466,29280999424.0,0.725732147693634,1,0,0,0,0,0,0,0
42089747492923934,149.74481379352804,1.3352216272471398,0.182638481259346,48531001344.0,0.4000319540500641,1,1,0,1,0,0,1,0
75959099379978481,243.68396625070534,56.2102967679734,0.16191716492176056,71474003968.0,0.9341435432434082,1,0,0,0,0,0,0,0
43158605939114128,150.2625653770132,2.6708195719027357,0.31344306468963623,10305999872.0,0.5936728119850159,1,0,0,0,0,0,0,0
43158747673037813,150.151964065771,2.8601248679161464,0.18830305337905884,31018999808.0,0.38482165336608887,1,1,0,1,0,0,1,0
75954825887505626,240.89706127914047,55.52783641800228,0.15028807520866394,8622900224.0,0.7238190770149231,1,0,0,0,0,0,0,0
44223332626757230,149.60059094435502,3.613278596878077,0.3087487518787384,27097999360.0,0.6680295467376709,1,0,0,0,0,0,0,1
75334439336421344,240.7960908146696,54.72631529046178,0.25687456130981445,6439499776.0,0.7524256706237793,1,0,0,0,0,0,0,1
41623829440667486,352.3692506139931,-0.12517994984857495,0.21171580255031586,26352001024.0,0.5874948501586914,1,0,0,0,0,0,0,0
75343785185284973,244.48797178356165,54.684616214284624,0.17684602737426758,22104000512.0,0.754422664642334,1,0,0,0,0,0,0,0
42687718609692016,351.5405138866772,0.25925486552359056,0.3042779564857483,161950007296.0,0.8495439291000366,1,1,0,1,0,0,1,0
41618997602446000,351.5557165788246,-1.1807526549204455,0.14406099915504456,6454499840.0,0.5272814035415649,1,0,0,0,0,0,0,0
41619701977085579,350.4918645647879,-0.36249733207530893,0.1923607885837555,37297000448.0,0.7303204536437988,1,0,0,0,0,0,0,0
75959795164669629,242.2567943539646,56.46801568529518,0.12168688327074051,41619001344.0,0.861824631690979,1,0,0,0,0,0,0,0
38549298576651535,34.320429100588264,-4.108657114745278,0.12248164415359497,11283000320.0,0.6237764358520508,1,0,0,0,0,0,0,0
75959232523965066,243.30725038698762,55.96447904261736,0.23633751273155212,78662000640.0,0.8114684820175171,1,0,0,0,0,0,0,0
37489515396353004,35.661590776734435,-5.295826748313373,0.23366516828536987,4436700160.0,0.905563473701477,1,0,0,0,0,0,0,0
