Name,Votes,No,Streams,Tails,Plumes,Shells,Disturbed,Spiral,Curiosities,Majority feature,Score,STRRINGS,RA,DEC
NGC2347,"{Shells: 1, Streams: 2, Spiral: 3, No: 1, Disturbed: 1}",1,2,0,0,1,1,3,0,Spiral,0.38,,109.0170011341155,64.71127189176529
NGC2357,{No: 2},2,0,0,0,0,0,0,0,No,1.0,,109.42068454650259,23.35652240895299
NGC2366,{No: 2},2,0,0,0,0,0,0,0,No,1.0,,112.22227280659523,69.21141796058978
NGC2370,"{Plumes: 1, Tails: 4, Streams: 3}",0,3,4,1,0,0,0,0,Tails,0.5,,111.2567369739441,23.783201022578833
NGC2376,"{Curiosities: 1, No: 3, Disturbed: 2, Spiral: 1, Streams: 1}",3,1,0,0,0,2,1,1,Disturbed,0.25,,111.64975570974904,23.073173007143154
NGC2378,"{No: 5, Shells: 2, Curiosities: 1}",5,0,0,0,2,0,0,1,No,0.62,,111.85939174322777,33.811335041822346
NGC2385,"{No: 5, Shells: 2, Disturbed: 1}",5,0,0,0,2,1,0,0,No,0.62,,112.1173416996779,33.837884740066556
NGC2388,{No: 2},2,0,0,0,0,0,0,0,No,1.0,,112.22284097729994,33.81905025216625
NGC2389,{No: 2},2,0,0,0,0,0,0,0,No,1.0,,112.26936099250639,33.860873519391426
NGC2393,{No: 2},2,0,0,0,0,0,0,0,No,1.0,,112.51943015914858,34.027673210273804
NGC2403,{No: 2},2,0,0,0,0,0,0,0,No,1.0,,114.21380152027945,65.60135395267585
NGC2405,{No: 2},2,0,0,0,0,0,0,0,No,1.0,,113.05832173685678,25.906272242083627
NGC2410,"{No: 3, Spiral: 5}",3,0,0,0,0,0,5,0,Spiral,0.62,,113.75956919328347,32.82198895097115
NGC2411_GROUP,{No: 2},2,0,0,0,0,0,0,0,No,1.0,,113.65137201485055,18.281530466812608
NGC2415_GROUP,"{Plumes: 1, No: 4, Disturbed: 1, Streams: 2}",4,2,0,1,0,1,0,0,Streams,0.25,,114.2358868301185,35.24212295417141
NGC2418,"{Shells: 4, Streams: 4, Disturbed: 1}",0,4,0,0,4,1,0,0,Streams,0.44,,114.15626936687363,17.88385563984236
NGC2424,{No: 2},2,0,0,0,0,0,0,0,No,1.0,,115.16371302456767,39.2330431988692
NGC2426,{No: 2},2,0,0,0,0,0,0,0,No,1.0,,115.82699014764606,52.31856062455391
NGC2429_GROUP,{No: 2},2,0,0,0,0,0,0,0,No,1.0,,115.9485169853996,52.35750435122183
NGC2431,"{No: 4, Tails: 2, Plumes: 1, Shells: 1}",4,0,2,1,1,0,0,0,Tails,0.25,,116.30603746133049,53.075210237403255
NGC2435,{No: 2},2,0,0,0,0,0,0,0,No,1.0,,116.05664477979514,31.651071555638968
NGC2441,"{No: 3, Spiral: 5}",3,0,0,0,0,0,5,0,Spiral,0.62,,117.97787607908121,73.01554674225066
NGC2445_GROUP,"{Disturbed: 4, Tails: 1, No: 2, Streams: 1}",2,1,1,0,0,4,0,0,Disturbed,0.5,,116.72926599823117,39.01467242835646
NGC2446,"{No: 3, Spiral: 5}",3,0,0,0,0,0,5,0,Spiral,0.62,,117.16330998263875,54.611746236062416
NGC2449_GROUP,"{Disturbed: 1, Streams: 2, Tails: 3, Plumes: 1, No: 1}",1,2,3,1,0,1,0,0,Tails,0.38,,116.83467206502877,26.930198465746855
NGC2450,{No: 2},2,0,0,0,0,0,0,0,No,1.0,,116.8845256749974,27.019178823591457
NGC2454,{No: 2},2,0,0,0,0,0,0,0,No,1.0,,117.64594557798462,16.36861313602197
NGC2460,"{Spiral: 4, Tails: 2, No: 1, Streams: 1}",1,1,2,0,0,0,4,0,Spiral,0.5,,119.21827076603718,60.34928564174175
NGC2469,{No: 2},2,0,0,0,0,0,0,0,No,1.0,,119.51415775292963,56.68038405752839
NGC2472,{No: 2},2,0,0,0,0,0,0,0,No,1.0,,119.67437150280921,56.70129046860026
NGC2474_GROUP,"{No: 4, Streams: 1, Disturbed: 2, Plumes: 1}",4,1,0,1,0,2,0,0,Disturbed,0.25,,119.49566901092378,52.8572754080368
NGC2476,"{Plumes: 3, Streams: 2, No: 2, Tails: 1}",2,2,1,3,0,0,0,0,Plumes,0.38,,119.18826662183116,39.92787896703168
NGC2481_GROUP,"{Plumes: 4, Streams: 1, No: 3}",3,1,0,4,0,0,0,0,Plumes,0.5,,119.30733028388252,23.767740924079455
NGC2485_GROUP,"{Tails: 4, Streams: 3, Spiral: 1}",0,3,4,0,0,0,1,0,Tails,0.5,,119.20280599229305,7.477950058843178
NGC2486,"{No: 4, Spiral: 4}",4,0,0,0,0,0,4,0,Spiral,0.5,,119.48537933621347,25.16087178883053
NGC2487,"{No: 2, Spiral: 4, Streams: 1, Tails: 1}",2,1,1,0,0,0,4,0,Spiral,0.5,,119.58533781100093,25.14920033161102
NGC2493_GROUP,{No: 2},2,0,0,0,0,0,0,0,No,1.0,,120.09845242926738,39.83040631904308
NGC2494,{No: 2},2,0,0,0,0,0,0,0,No,1.0,,119.77969645901406,-0.637911828115278
NGC2498,{No: 2},2,0,0,0,0,0,0,0,No,1.0,,119.91183360073602,24.982350383553925
NGC2500,{No: 2},2,0,0,0,0,0,0,0,No,1.0,,120.47089186343877,50.73716676124209
NGC2503,"{No: 2, Spiral: 6}",2,0,0,0,0,0,6,0,Spiral,0.75,,120.15287004388983,22.400012663082762
NGC2504,"{Disturbed: 2, No: 3, Tails: 1, Plumes: 1, Streams: 1}",3,1,1,1,0,2,0,0,Disturbed,0.25,,119.96787097290682,5.60820793938354
NGC2507,"{Tails: 1, Streams: 6, Plumes: 1}",0,6,1,1,0,0,0,0,Streams,0.75,,120.40499364453777,15.70975691151128
NGC2508,"{Tails: 2, Streams: 3, Plumes: 1, Shells: 2, Disturbed: 1}",0,3,2,1,2,1,0,0,Streams,0.33,,120.48841148493717,8.551873117010977
NGC2510,"{Shells: 1, Tails: 1, No: 5, Spiral: 1}",5,0,1,0,1,0,1,0,No,0.62,,120.54446808611107,9.485978076017977
NGC2512,"{Spiral: 5, No: 2, Tails: 1}",2,0,1,0,0,0,5,0,Spiral,0.62,,120.78267729246213,23.391768633835
NGC2513_GROUP,"{No: 6, Shells: 2}",6,0,0,0,2,0,0,0,No,0.75,,120.60283745859947,9.413559168056125
NGC2514,{No: 2},2,0,0,0,0,0,0,0,No,1.0,,120.7069093730575,15.808339918571303
NGC2518_GROUP,"{Shells: 5, Streams: 2, No: 2}",2,2,0,0,5,0,0,0,Shells,0.56,,121.83439305291128,51.131601051199254
NGC2521,{No: 2},2,0,0,0,0,0,0,0,No,1.0,,122.20567068952552,57.76962345638991
NGC2522,{No: 2},2,0,0,0,0,0,0,0,No,1.0,,121.55598800967674,17.706596246248562
