#name,ra,dec,z_lens,z_source,zl_phot,zs_phot,Rein,lens_mag_i,source_mag_i,type,discovery,grade,Reference
154547+432648,236.445926,43.446865,-99.000,-99.000,0.48,-99.00,-99.00,18.64,-99.00,GG,VY,B,"HOLISMOKES8 SuGOHI6"
021753-022407,34.473370,-2.402207,-99.000,-99.000,0.45,-99.00,-99.00,18.64,22.33,GG,"VY CNN Y",B,"HOLISMOKES6+13 SuGOHI1 SuGOHI6"
022610-042011,36.544397,-4.336562,-99.000,-99.000,0.49,-99.00,1.04,18.64,21.69,GG,"CNN K Y",A,"SuGOHI10 SL2S SuGOHI1 SuGOHI3"
015902-051024,29.759140,-5.173532,-99.000,-99.000,0.36,-99.00,-99.00,18.64,-99.00,GG,VY,C,SuGOHI6
023733-051015,39.390842,-5.171043,-99.000,-99.000,-99.00,-99.00,-99.00,18.64,21.61,GG,Y,C,SuGOHI1
091049+014049,137.704300,1.680500,-99.000,-99.000,0.50,-99.00,-99.00,18.65,-99.00,CG,V,C,SuGOHI5
143640+004213,219.170800,0.703600,-99.000,-99.000,0.38,0.69,-99.00,18.65,19.30,CG,V,C,SuGOHI5
023447-041241,38.698775,-4.211573,-99.000,-99.000,-99.00,-99.00,-99.00,18.65,23.84,GG,Y,C,SuGOHI1
095628-001819,149.117000,-0.305500,-99.000,-99.000,0.40,-99.00,-99.00,18.65,-99.00,CG,"CNN V",B,"HOLISMOKES8 HOLISMOKES13 SuGOHI5"
015819-015703,29.581132,-1.950927,-99.000,-99.000,0.40,-99.00,-99.00,18.66,22.84,GG,"CNN V Y",B,"HOLISMOKES8 SuGOHI1 HOLISMOKES6+13 SuGOHI6"
230938-000326,347.410140,-0.057309,-99.000,-99.000,-99.00,-99.00,-99.00,18.66,21.68,GG,Y,C,SuGOHI2
020049-013516,30.206840,-1.587929,-99.000,-99.000,-99.00,-99.00,-99.00,18.66,23.26,GG,Y,C,SuGOHI2
232853+000536,352.223800,0.093500,-99.000,-99.000,0.50,-99.00,-99.00,18.66,19.99,CG,V,B,SuGOHI5
142016+005719,215.069300,0.955200,-99.000,-99.000,0.49,1.56,-99.00,18.66,24.08,CG,V,B,SuGOHI5
151717+433919,229.324050,43.655440,-99.000,-99.000,-99.00,-99.00,-99.00,18.66,21.18,GG,Y,C,SuGOHI2
122812+010743,187.051060,1.128870,-99.000,-99.000,0.33,-99.00,-99.00,18.66,-99.00,GG,CNN,B,"HOLISMOKES8 SuGOHI10 HOLISMOKES6+13"
085156+013016,132.987358,1.504592,-99.000,-99.000,0.31,-99.00,-99.00,18.67,-99.00,GG,,B,"HOLISMOKES8 LinKS"
090757+042303,136.991160,4.384275,-99.000,-99.000,-99.00,-99.00,-99.00,18.67,20.99,GG,Y,C,SuGOHI1
123917-000434,189.824560,-0.076265,-99.000,-99.000,-99.00,-99.00,-99.00,18.67,22.53,GG,Y,C,"LinKS SuGOHI2"
093213+011858,143.055740,1.316235,-99.000,-99.000,-99.00,-99.00,-99.00,18.67,21.62,GG,Y,C,SuGOHI2
011247+005254,18.197500,0.881800,-99.000,-99.000,0.37,0.55,-99.00,18.67,27.88,CG,V,C,SuGOHI5
085546+024556,133.944356,2.765665,-99.000,-99.000,0.51,-99.00,-99.00,18.67,22.32,GG,"CNN YC",C,"SuGOHI1 SuGOHI10"
