ra,dec,source
31.629106,-7.639644,1301_4275
31.543543,-7.594961,1301_4275
31.715618,-7.615479,1301_4275
31.82501,-7.469476,1301_4275
32.117767,-8.197608,1301_4275
32.905582,-8.173978,1301_4275
32.158356,-7.903811,1301_4275
32.264141,-7.847484,1301_4275
32.217712,-7.846273,1301_4275
32.575809,-7.805628,1301_4275
32.582008,-7.725028,1301_4275
32.72382,-7.699318,1301_4275
33.057972,-7.58348,1301_4275
32.582432,-7.508636,1301_4275
33.830673,-8.359132,1301_4275
33.867256,-8.310109,1301_4275
33.835342,-8.175205,1301_4275
33.874676,-8.06062,1301_4275
33.897575,-8.065253,1301_4275
33.429676,-8.026393,1301_4275
33.261536,-7.775615,1301_4275
34.021797,-7.581259,1301_4275
34.78603,-8.375119,1301_4275
34.747299,-8.334416,1301_4275
34.714664,-8.320452,1301_4275
34.557095,-8.308818,1301_4275
34.224121,-8.198995,1301_4275
34.392185,-8.14535,1301_4275
34.716053,-8.06168,1301_4275
34.160461,-7.99054,1301_4275
34.505474,-7.911125,1301_4275
34.827641,-7.896359,1301_4275
34.500744,-7.898188,1301_4275
34.864635,-7.759414,1301_4275
35.592838,-8.326071,1301_4275
35.382393,-8.199127,1301_4275
35.114681,-8.187393,1301_4275
35.469696,-8.161862,1301_4275
35.128216,-8.149623,1301_4275
35.486008,-7.971487,1301_4275
35.278183,-7.78526,1301_4275
35.587955,-7.68317,1301_4275
36.668934,-8.390828,1301_4275
36.385536,-8.346303,1301_4275
36.311661,-8.3478,1301_4275
36.433968,-8.323864,1301_4275
36.790924,-8.305021,1301_4275
36.385372,-8.268518,1301_4275
36.587559,-8.253731,1301_4275
35.945682,-8.213507,1301_4275
36.389431,-7.874524,1301_4275
36.028103,-7.650845,1301_4275
37.363289,-8.25656,1301_4275
37.558399,-8.187303,1301_4275
37.376488,-8.128593,1301_4275
37.778675,-7.642822,1301_4275
38.78682,-8.373136,1301_4275
37.854969,-8.262341,1301_4275
37.892899,-8.233998,1301_4275
38.101021,-8.194493,1301_4275
38.084538,-8.188407,1301_4275
38.599934,-7.477653,1301_4275
30.951706,-7.426952,1301_4275
30.726099,-7.306275,1301_4275
30.839809,-7.277797,1301_4275
30.48757,-7.158827,1301_4275
30.527094,-7.132986,1301_4275
30.565449,-7.09252,1301_4275
30.823832,-7.060918,1301_4275
30.927311,-7.050244,1301_4275
30.721937,-6.979598,1301_4275
30.198666,-6.919785,1301_4275
30.693359,-6.907103,1301_4275
30.536102,-6.820979,1301_4275
30.434628,-6.787655,1301_4275
31.01907,-6.782743,1301_4275
30.875198,-6.755153,1301_4275
30.566404,-6.72075,1301_4275
30.548346,-6.627577,1301_4275
30.670692,-6.573194,1301_4275
31.647377,-7.404199,1301_4275
31.719782,-7.349049,1301_4275
31.296377,-7.214758,1301_4275
31.978157,-7.113281,1301_4275
32.00531,-7.04304,1301_4275
31.201136,-7.036559,1301_4275
31.164372,-6.910533,1301_4275
31.958036,-6.536741,1301_4275
33.01751,-7.378637,1301_4275
32.791145,-7.142229,1301_4275
32.326901,-7.121483,1301_4275
32.519753,-6.9819,1301_4275
32.56152,-6.885199,1301_4275
32.635807,-6.873928,1301_4275
32.144451,-6.846555,1301_4275
32.930675,-6.826228,1301_4275
32.131687,-6.806475,1301_4275
32.59676,-6.755602,1301_4275
32.631798,-6.700701,1301_4275
32.602192,-6.688014,1301_4275
33.123718,-7.464976,1301_4275
33.593636,-7.440462,1301_4275
33.745148,-7.2437,1301_4275
33.374947,-7.184364,1301_4275
33.654018,-7.137939,1301_4275
33.448841,-7.130751,1301_4275
33.940559,-7.039578,1301_4275
33.385891,-7.030203,1301_4275
33.798859,-7.004424,1301_4275
33.462406,-6.951181,1301_4275
33.340557,-6.938809,1301_4275
33.073338,-6.879371,1301_4275
33.2827,-6.894778,1301_4275
33.491337,-6.79323,1301_4275
33.3722,-6.814934,1301_4275
33.392811,-6.781964,1301_4275
34.578026,-7.437544,1301_4275
34.273319,-7.278216,1301_4275
34.204697,-7.262546,1301_4275
34.539787,-7.23653,1301_4275
34.52021,-7.215819,1301_4275
34.192707,-7.142098,1301_4275
34.339634,-6.897657,1301_4275
34.684315,-6.880465,1301_4275
34.45974,-6.874788,1301_4275
34.191956,-6.859875,1301_4275
34.591911,-6.840216,1301_4275
34.308617,-6.794756,1301_4275
34.439461,-6.784333,1301_4275
34.122917,-6.758203,1301_4275
34.071777,-6.748288,1301_4275
34.336746,-6.637058,1301_4275
34.146091,-6.55879,1301_4275
35.865505,-7.236383,1301_4275
35.580322,-6.8092,1301_4275
35.579639,-6.810287,1301_4275
35.639961,-6.673075,1301_4275
36.383587,-7.247941,1301_4275
35.967853,-7.259577,1301_4275
36.193508,-7.256995,1301_4275
35.963501,-7.244499,1301_4275
36.492519,-7.227057,1301_4275
36.547245,-7.19242,1301_4275
36.535072,-7.164761,1301_4275
36.459648,-7.048455,1301_4275
36.442379,-6.723511,1301_4275
36.395885,-6.64271,1301_4275
36.008266,-6.57048,1301_4275
37.250568,-7.322034,1301_4275
37.172844,-7.030169,1301_4275
37.598686,-7.013355,1301_4275
37.132874,-6.875463,1301_4275
37.562542,-6.87555,1301_4275
38.650562,-7.343497,1301_4275
38.421764,-7.233589,1301_4275
38.327782,-6.914946,1301_4275
38.645008,-6.798974,1301_4275
38.660545,-6.71835,1301_4275
30.93034,-6.481916,1301_4275
30.938095,-6.431514,1301_4275
30.804665,-6.387253,1301_4275
30.82242,-6.321378,1301_4275
30.443417,-6.2874,1301_4275
30.218664,-6.293143,1301_4275
30.203859,-6.285913,1301_4275
30.837103,-6.284542,1301_4275
30.619959,-6.157635,1301_4275
30.285782,-6.134123,1301_4275
30.946752,-6.040495,1301_4275
30.864016,-6.024021,1301_4275
30.933336,-5.997407,1301_4275
31.04282,-5.81975,1301_4275
30.70542,-5.733137,1301_4275
32.061672,-6.316863,1301_4275
31.437141,-6.286194,1301_4275
31.413164,-6.25696,1301_4275
31.229925,-6.248841,1301_4275
31.439827,-6.230363,1301_4275
31.248655,-6.199285,1301_4275
31.433109,-6.161631,1301_4275
31.438442,-6.15489,1301_4275
31.511915,-6.096455,1301_4275
31.520147,-6.054352,1301_4275
31.974148,-6.000361,1301_4275
31.985376,-5.700945,1301_4275
32.891781,-6.503044,1301_4275
32.933716,-6.383487,1301_4275
32.468521,-6.368835,1301_4275
32.424068,-6.319464,1301_4275
32.788055,-6.306238,1301_4275
32.266251,-6.19511,1301_4275
32.171623,-6.199658,1301_4275
32.484177,-6.154427,1301_4275
32.614037,-5.983314,1301_4275
32.138538,-5.927599,1301_4275
32.142296,-5.82043,1301_4275
32.291225,-5.791084,1301_4275
32.198467,-5.787222,1301_4275
32.237541,-5.699671,1301_4275
32.89518,-5.601454,1301_4275
33.08231,-6.448335,1301_4275
33.76339,-6.446371,1301_4275
33.412563,-6.444153,1301_4275
33.369022,-6.370758,1301_4275
33.071938,-6.155965,1301_4275
33.628422,-6.13679,1301_4275
33.227508,-6.13663,1301_4275
33.56781,-6.099414,1301_4275
33.491737,-5.965949,1301_4275
33.171925,-5.818039,1301_4275
33.1087,-5.812184,1301_4275
34.816997,-6.43924,1301_4275
34.7243,-6.280736,1301_4275
34.895359,-6.105222,1301_4275
34.803513,-6.038069,1301_4275
34.817082,-6.054928,1301_4275
34.140095,-6.04112,1301_4275
34.787804,-5.910472,1301_4275
34.852253,-5.904421,1301_4275
34.794674,-5.844139,1301_4275
35.603085,-6.461341,1301_4275
35.13971,-6.434043,1301_4275
35.602489,-6.267052,1301_4275
35.749302,-6.188344,1301_4275
35.561119,-6.142495,1301_4275
35.364758,-5.823608,1301_4275
35.03828,-5.710916,1301_4275
36.102467,-6.473917,1301_4275
36.09721,-6.41298,1301_4275
36.268723,-6.310822,1301_4275
36.087307,-6.152583,1301_4275
36.62669,-6.157453,1301_4275
36.178097,-6.140841,1301_4275
36.373215,-6.102281,1301_4275
36.289196,-6.073741,1301_4275
36.576565,-6.092054,1301_4275
36.365509,-6.044162,1301_4275
36.127052,-5.918778,1301_4275
36.28981,-5.939649,1301_4275
36.308022,-5.91133,1301_4275
36.403004,-5.873018,1301_4275
36.444675,-5.742699,1301_4275
36.961597,-6.403534,1301_4275
37.707981,-6.362548,1301_4275
37.149994,-5.940963,1301_4275
37.332607,-5.939698,1301_4275
37.225613,-5.622992,1301_4275
38.652245,-6.375801,1301_4275
38.540077,-6.128997,1301_4275
38.631935,-6.076873,1301_4275
38.690754,-5.711457,1301_4275
132.259323,-5.652067,1301_4275
132.776993,-5.645323,1301_4275
132.715134,-5.517411,1301_4275
132.413864,-5.281756,1301_4275
132.406158,-5.236991,1301_4275
132.334045,-5.225745,1301_4275
132.28894,-5.14835,1301_4275
132.794662,-5.089084,1301_4275
132.672485,-5.028939,1301_4275
132.753586,-5.024798,1301_4275
132.648727,-4.999977,1301_4275
132.658295,-5.003128,1301_4275
132.607681,-4.976483,1301_4275
132.39061,-4.935987,1301_4275
132.363586,-4.918815,1301_4275
132.521866,-4.86058,1301_4275
133.931671,-5.551276,1301_4275
133.883636,-5.512226,1301_4275
133.842102,-5.473709,1301_4275
133.259811,-5.379779,1301_4275
133.513626,-5.344761,1301_4275
133.386047,-5.337523,1301_4275
133.501862,-5.21767,1301_4275
133.45932,-5.208953,1301_4275
133.13298,-5.110237,1301_4275
133.229568,-5.059359,1301_4275
133.200607,-5.044389,1301_4275
133.355881,-4.995103,1301_4275
133.087677,-4.951773,1301_4275
134.35997,-5.661165,1301_4275
134.097809,-5.648972,1301_4275
134.096191,-5.646927,1301_4275
134.447235,-5.631858,1301_4275
134.630676,-5.496285,1301_4275
134.025543,-5.465482,1301_4275
134.633362,-5.460415,1301_4275
134.870483,-5.411745,1301_4275
134.835327,-5.409752,1301_4275
134.71936,-5.413341,1301_4275
134.339188,-5.404944,1301_4275
134.072891,-5.38525,1301_4275
134.738327,-5.350936,1301_4275
134.826599,-5.350978,1301_4275
134.42836,-5.262855,1301_4275
134.67514,-5.274775,1301_4275
134.526459,-5.252233,1301_4275
134.875931,-5.18842,1301_4275
134.426621,-5.086775,1301_4275
134.323563,-5.047715,1301_4275
134.786636,-5.04317,1301_4275
133.990845,-4.978526,1301_4275
134.349228,-4.89557,1301_4275
134.708542,-4.756621,1301_4275
134.085617,-4.754487,1301_4275
134.558044,-4.724215,1301_4275
134.839401,-4.7195,1301_4275
135.687607,-5.66828,1301_4275
135.053574,-5.58415,1301_4275
135.292801,-5.354094,1301_4275
135.755264,-5.289909,1301_4275
135.812897,-5.275785,1301_4275
135.55722,-5.214266,1301_4275
134.98671,-5.150891,1301_4275
135.593979,-5.093661,1301_4275
